Date,Open,High,Low,Close,Adj Close,Volume
25/02/2021,108.730003,109.089996,106.849998,107.080002,107.080002,1338000
26/02/2021,106.93,106.989998,105.370003,105.809998,105.809998,1002900
01/03/2021,107.330002,108.559998,106.849998,108.080002,108.080002,935600
02/03/2021,107.18,107.260002,105.75,105.769997,105.769997,1082500
03/03/2021,106.410004,106.57,104.5,104.519997,104.519997,1052700
04/03/2021,103.309998,104.019997,100.730003,101.839996,101.839996,1642500
05/03/2021,103.610001,104.25,101.279999,104.139999,104.139999,1053900
08/03/2021,102.339996,103,100.199997,100.25,100.25,1242600
09/03/2021,100.25,101.989998,100.089996,101.519997,101.519997,1288500
10/03/2021,102.470001,102.690002,100.510002,100.989998,100.989998,1073400
11/03/2021,102.279999,103.650002,101.769997,103.199997,103.199997,915500
12/03/2021,103.169998,104.589996,102.510002,104.559998,104.559998,870100
15/03/2021,104.879997,105.440002,104.169998,105.389999,105.389999,875500
16/03/2021,106.239998,107.25,106.150002,106.559998,106.559998,823900
17/03/2021,105.769997,106.300003,104.769997,105.93,105.93,719100
18/03/2021,105.940002,106.129997,104.940002,105.339996,105.339996,860600
19/03/2021,105.809998,105.809998,104.510002,105.260002,105.260002,622700
22/03/2021,106,107.419998,105.510002,106.889999,106.889999,2082100
23/03/2021,106.330002,106.93,105.010002,105.110001,105.110001,761200
24/03/2021,104.809998,104.809998,102.309998,102.349998,102.349998,1270700
25/03/2021,102.360001,102.940002,101.459999,102.650002,102.650002,971200
26/03/2021,104.160004,105.5,104.099998,105.419998,105.419998,823900
29/03/2021,105.900002,107.040001,105.040001,106.599998,106.599998,817100
30/03/2021,104.330002,104.900002,103.720001,104.510002,104.510002,695100
31/03/2021,105.559998,106.800003,105.260002,106.010002,106.010002,597500
01/04/2021,106.559998,107.120003,105.510002,106.860001,106.860001,450100
05/04/2021,110.800003,111.839996,109.82,111.389999,111.389999,832400
06/04/2021,110.120003,110.279999,109.330002,109.900002,109.900002,439100
07/04/2021,110.550003,111.339996,109.639999,110.860001,110.860001,489300
08/04/2021,109.300003,109.959999,109,109.82,109.82,562500
09/04/2021,111.510002,112.059998,110.510002,111.790001,111.790001,823200
12/04/2021,111.489998,112.300003,111.129997,111.389999,111.389999,444700
13/04/2021,111.980003,112.360001,111.470001,111.879997,111.879997,534800
14/04/2021,112.489998,112.809998,111.709999,111.779999,111.779999,410800
15/04/2021,112.75,113.5,112.120003,112.769997,112.769997,508200
16/04/2021,111.650002,111.669998,110.709999,111.099998,111.099998,642400
19/04/2021,111.050003,111.239998,109.410004,109.980003,109.980003,413700
20/04/2021,109.650002,110.099998,108,108.610001,108.610001,489100
21/04/2021,107.230003,108.589996,106.699997,108.440002,108.440002,559200
22/04/2021,109.029999,110.050003,108.540001,108.940002,108.940002,906500
23/04/2021,109.790001,110.330002,109.389999,109.940002,109.940002,428500
26/04/2021,109,109.699997,108.849998,108.919998,108.919998,536900
27/04/2021,106.5,107.699997,105.360001,106.669998,106.669998,1559200
28/04/2021,106.400002,106.419998,103.129997,104.489998,104.489998,1735200
29/04/2021,105.419998,105.489998,104.110001,104.849998,104.849998,908800
